dep;jour;pop;P;cl_age90
01;2020-05-13;83001;0;09
01;2020-05-13;84665;1;19
01;2020-05-13;65496;0;29
01;2020-05-13;85588;1;39
01;2020-05-13;89678;0;49
01;2020-05-13;89791;0;59
01;2020-05-13;73500;0;69
01;2020-05-13;51011;1;79
01;2020-05-13;26830;4;89
01;2020-05-13;7395;2;90
01;2020-05-13;656955;9;0
01;2020-05-14;83001;0;09
01;2020-05-14;84665;6;19
01;2020-05-14;65496;1;29
01;2020-05-14;85588;0;39
01;2020-05-14;89678;1;49
01;2020-05-14;89791;1;59
01;2020-05-14;73500;0;69
01;2020-05-14;51011;0;79
01;2020-05-14;26830;0;89
01;2020-05-14;7395;0;90
01;2020-05-14;656955;9;0
01;2020-05-15;83001;0;09
01;2020-05-15;84665;0;19
01;2020-05-15;65496;0;29
01;2020-05-15;85588;2;39
01;2020-05-15;89678;0;49
01;2020-05-15;89791;1;59
01;2020-05-15;73500;0;69
01;2020-05-15;51011;1;79
01;2020-05-15;26830;1;89
01;2020-05-15;7395;0;90
01;2020-05-15;656955;5;0
01;2020-05-16;83001;0;09
01;2020-05-16;84665;0;19
01;2020-05-16;65496;0;29
01;2020-05-16;85588;0;39
01;2020-05-16;89678;0;49
01;2020-05-16;89791;0;59
01;2020-05-16;73500;0;69
01;2020-05-16;51011;0;79
01;2020-05-16;26830;0;89
01;2020-05-16;7395;0;90
01;2020-05-16;656955;0;0
01;2020-05-17;83001;0;09
01;2020-05-17;84665;0;19
01;2020-05-17;65496;0;29
01;2020-05-17;85588;0;39
01;2020-05-17;89678;0;49
01;2020-05-17;89791;0;59
01;2020-05-17;73500;0;69
01;2020-05-17;51011;0;79
01;2020-05-17;26830;0;89
01;2020-05-17;7395;0;90
01;2020-05-17;656955;0;0
01;2020-05-18;83001;0;09
01;2020-05-18;84665;0;19
01;2020-05-18;65496;0;29
01;2020-05-18;85588;1;39
01;2020-05-18;89678;0;49
01;2020-05-18;89791;0;59
01;2020-05-18;73500;0;69
01;2020-05-18;51011;1;79
01;2020-05-18;26830;6;89
01;2020-05-18;7395;3;90
01;2020-05-18;656955;11;0
01;2020-05-19;83001;0;09
01;2020-05-19;84665;1;19
01;2020-05-19;65496;0;29
01;2020-05-19;85588;1;39
01;2020-05-19;89678;0;49
01;2020-05-19;89791;0;59
01;2020-05-19;73500;2;69
01;2020-05-19;51011;0;79
01;2020-05-19;26830;2;89
01;2020-05-19;7395;3;90
01;2020-05-19;656955;9;0
01;2020-05-20;83001;0;09
01;2020-05-20;84665;0;19
01;2020-05-20;65496;3;29
01;2020-05-20;85588;3;39
01;2020-05-20;89678;3;49
01;2020-05-20;89791;0;59
01;2020-05-20;73500;0;69
01;2020-05-20;51011;0;79
01;2020-05-20;26830;2;89
01;2020-05-20;7395;0;90
01;2020-05-20;656955;11;0
01;2020-05-21;83001;0;09
01;2020-05-21;84665;0;19
01;2020-05-21;65496;0;29
01;2020-05-21;85588;0;39
01;2020-05-21;89678;0;49
01;2020-05-21;89791;0;59
01;2020-05-21;73500;0;69
01;2020-05-21;51011;1;79
01;2020-05-21;26830;0;89
01;2020-05-21;7395;0;90
01;2020-05-21;656955;1;0
01;2020-05-22;83001;0;09
01;2020-05-22;84665;1;19
01;2020-05-22;65496;0;29
01;2020-05-22;85588;1;39
01;2020-05-22;89678;0;49
01;2020-05-22;89791;0;59
01;2020-05-22;73500;2;69
01;2020-05-22;51011;2;79
01;2020-05-22;26830;0;89
01;2020-05-22;7395;1;90
01;2020-05-22;656955;7;0
01;2020-05-23;83001;0;09
01;2020-05-23;84665;0;19
01;2020-05-23;65496;1;29
01;2020-05-23;85588;0;39
01;2020-05-23;89678;1;49
01;2020-05-23;89791;0;59
01;2020-05-23;73500;0;69
01;2020-05-23;51011;0;79
